"Compiled from boardgamegeek.com by Matt Borthwick",gameID,rating
272,9216,1
272,9217,1
272,39938,1
272,15363,5
272,24068,1
272,70149,1
272,43015,1
272,107529,1
272,10,1
272,12,1
272,13,7.5
272,54625,1
272,22545,1
272,18,1
272,3,1
272,47,1
272,15364,1
272,27162,1
272,103343,1
272,31260,1
272,16986,1
272,5,1
272,9220,1
272,115746,2
272,1115,1.5
272,100901,1
272,39463,7
272,41,4
272,59946,1
272,555,1
272,45,6
272,46,1
272,35677,1
272,28720,1
272,43570,1
272,51,3
272,38453,1
272,54,1
272,59959,1
272,40628,1
272,72287,1
272,27708,1
272,121408,1
272,121921,1
272,17226,1
272,36932,1
272,25669,1
272,104006,1
272,20551,1
272,97207,1
272,93260,1
272,27746,1
272,5782,1
272,25613,1
272,96848,3
272,137297,1
272,119890,1
272,127060,1
272,48726,1
272,88,1
272,126042,1
272,154203,1
272,93,1
272,120677,1
272,16992,6
272,98,5
272,51811,1
272,146021,1
272,43111,1
272,105,1
272,103,2
272,463,1
272,2987,1
272,77423,1
272,112,1
272,21523,1
272,116,6
272,24181,1
272,118,1
272,6249,1
272,10547,1
272,22141,1
272,3201,1
272,66690,1
272,20100,1
272,2163,1
272,7717,1
272,63628,1
272,12942,5
272,122515,1
272,14996,1
272,30869,1
272,148228,1
272,90137,1
272,122522,1
272,97903,1
272,69789,3
272,18602,1
272,171,9
272,172,1
272,173,1
272,105134,1
272,2223,4
272,91312,1
272,125618,1
272,3955,3
272,91536,2
272,37046,1
272,124361,1
272,136888,1
272,27833,1
272,699,1
272,188,9
272,36218,1
272,53953,1
272,4098,1
272,117959,1
272,25292,1
272,66188,1
272,13004,1
272,50381,2
272,12493,1
272,1234,9
272,126163,1
272,15062,1
272,215,1
272,133848,1
272,63268,1
272,108745,1
272,147151,1
272,65244,1
272,25821,1
272,3076,1
272,27173,1
272,104162,1
272,42215,1
272,70323,1
272,826,1
272,17133,1
272,68425,2
272,7805,1
272,160499,1
272,40692,1
272,65781,1
272,37111,1
272,760,1
272,31481,1
272,2655,1
272,102652,8
272,42,1
272,258,8
272,21763,1
272,113924,1
272,54998,1
272,127023,1
272,62219,1
272,40834,1
272,37380,1
272,12333,1
272,278,1
272,102680,1
272,14105,1
272,54043,1
272,5404,1
272,131357,1
272,21790,1
272,118048,1
272,155426,1
272,475,1
272,124708,1
272,19237,1
272,22827,1
272,97842,1
272,90419,1
272,2397,7
272,823,1
272,39683,1
272,164153,1
272,66362,1
272,73439,1
272,394,1
272,2653,1
272,320,10
272,1345,1
272,2651,1
272,124742,1
272,34119,1
272,6472,3
272,140,5
272,77130,1
272,34635,1
272,140620,1
272,143693,1
272,22345,1
272,15987,1
272,113294,1
272,101721,1
272,144733,1
272,7854,1
272,68448,1
272,133473,7
272,21348,1
272,100423,1
272,150376,1
272,31594,1
272,128882,1
272,8051,1
272,55670,1
272,28023,1
272,21882,1
272,891,3
272,123260,1
272,143741,4
272,37759,4
272,83330,1
272,150,1
272,10630,1
272,33160,1
272,9609,1
272,102794,1
272,31627,1
272,84876,1
272,30380,1
272,63888,1
272,19857,1
272,915,1
272,71721,1
272,41114,1
272,59294,1
272,24480,1
272,127398,1
272,34219,1
272,133038,1
272,129437,1
272,432,1
272,138161,1
272,43443,1
272,521,1
272,438,2
272,25417,1
272,1465,1
272,24508,1
272,72125,1
272,71,1
272,27588,1
272,147020,5
272,9674,1
272,110327,1
272,103885,1
272,2511,1
272,25554,1
272,79828,1
272,148949,1
272,21241,1
272,98778,9
272,105551,1
272,478,1
272,483,9
272,45315,1
272,12002,1
272,327,1
272,129622,5
272,147949,1
272,28143,1
272,31730,1
272,8217,6
272,503,1
272,9209,1
272,97786,1
272,13823,1
272,13308,1
272,66589,1
272,30549,6
388,9216,10
388,9217,8
388,39938,8
388,15363,7
388,15364,8
388,70149,9
388,43015,8
388,10,8
388,11,8
388,48726,7
388,13,7
388,12333,9
388,37904,8
388,22545,9
388,18,8
388,21523,8
388,148228,7
388,27162,7
388,103,7
388,16986,6
388,2591,8
388,73761,7
388,1115,6
388,2987,8
388,27173,7
388,39463,10
388,41,9
388,43570,8
388,555,9
388,125618,7
388,46,10
388,35677,10
388,28720,9
388,66098,9
388,51,6
388,38453,7
388,54,7
388,521,8
388,181304,9
388,2655,8
388,164928,8
388,121921,8
388,17226,10
388,8203,7
388,36932,8
388,25669,8
388,104006,8
388,20551,8
388,177736,9
388,176396,6
388,93260,8
388,98,7
388,590,5
388,25613,10
388,96848,10
388,137297,7
388,119890,8
388,9209,10
388,163412,8
388,129622,6
388,1111,7
388,88,8
388,126042,8
388,154203,8
388,93,9
388,194655,8
388,3,8
388,27746,8
388,51811,8
388,171623,9
388,6249,7
388,43111,7
388,463,9
388,128621,8
388,77423,8
388,112,9
388,209010,8
388,15987,8
388,116,6
388,24181,9
388,118,9
388,105,7
388,22141,7
388,163967,8
388,163968,7
388,150658,8
